#mpa_v30_CHOCOPhlAn_201901
#/home/grim/miniconda3/bin/metaphlan /home/grim/cnckrun/X101SC21101085-Z01-F007_01/CN12/CN12_FDSW210418086-1r_HMLYTDSX2_L1_1.fq.gz --input_type fastq -o /home/grim/cnckrun/X101SC21101085-Z01-F007_01/CN12/CN12_FDSW210418086-1r_HMLYTDSX2_L1_1.fq.gz.txt
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.98078	
k__Archaea	2157	0.01922	
k__Bacteria|p__Proteobacteria	2|1224	31.75209	
k__Bacteria|p__Bacteroidetes	2|976	29.71054	
k__Bacteria|p__Firmicutes	2|1239	19.93473	
k__Bacteria|p__Verrucomicrobia	2|74201	17.15474	
k__Bacteria|p__Synergistetes	2|508458	0.85236	
k__Bacteria|p__Actinobacteria	2|201174	0.46716	
k__Bacteria|p__Lentisphaerae	2|256845	0.10917	
k__Archaea|p__Euryarchaeota	2157|28890	0.01922	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	29.71054	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	29.58868	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	18.52007	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	17.15474	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	2.16341	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.85236	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.70897	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.57357	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.46157	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.10917	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.07729	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.05483	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.01922	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.00559	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	29.71054	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	29.58868	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	18.52007	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	17.15474	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	2.16341	
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	0.85236	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.57357	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.56667	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.42072	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.1423	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales	2|256845|1313211|278082	0.10917	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.07729	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.05483	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.04085	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.01922	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.00559	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	29.58868	
