#mpa_v30_CHOCOPhlAn_201901
#/home/grim/miniconda3/bin/metaphlan /home/grim/cnckrun/X101SC21101085-Z01-F007_01/CN06/CN06_FDSW210418093-1r_HMTM7DSX2_L2_2.fq.gz --input_type fastq -o /home/grim/cnckrun/X101SC21101085-Z01-F007_01/CN06/CN06_FDSW210418093-1r_HMTM7DSX2_L2_2.fq.gz.txt
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.80794	
k__Archaea	2157	0.19206	
k__Bacteria|p__Firmicutes	2|1239	52.32262	
k__Bacteria|p__Bacteroidetes	2|976	23.17923	
k__Bacteria|p__Proteobacteria	2|1224	22.88658	
k__Bacteria|p__Actinobacteria	2|201174	1.36569	
k__Archaea|p__Euryarchaeota	2157|28890	0.19206	
k__Bacteria|p__Synergistetes	2|508458	0.05055	
k__Bacteria|p__Lentisphaerae	2|256845	0.00326	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	48.88575	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	23.17923	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	22.29673	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.48342	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.36569	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.58985	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.58983	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.27728	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.19206	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.08635	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.05055	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.00326	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	48.88575	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	23.17923	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	22.29673	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	2.48342	
