#mpa_v30_CHOCOPhlAn_201901
#/home/grim/miniconda3/bin/metaphlan /home/grim/cnckrun/X101SC21101085-Z01-F007_01/CN04/CN04_FDSW210418085-1r_HMTM7DSX2_L2_2.fq.gz --input_type fastq -o /home/grim/cnckrun/X101SC21101085-Z01-F007_01/CN04/CN04_FDSW210418085-1r_HMTM7DSX2_L2_2.fq.gz.txt
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.85611	
k__Archaea	2157	0.14389	
k__Bacteria|p__Bacteroidetes	2|976	79.3206	
k__Bacteria|p__Firmicutes	2|1239	17.95716	
k__Bacteria|p__Proteobacteria	2|1224	1.4368	
k__Bacteria|p__Synergistetes	2|508458	0.902	
k__Bacteria|p__Verrucomicrobia	2|74201	0.16517	
k__Archaea|p__Euryarchaeota	2157|28890	0.14389	
k__Bacteria|p__Actinobacteria	2|201174	0.07437	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	79.3206	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	16.20133	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.25145	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.98093	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.902	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.45362	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.42768	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.16517	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.14389	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.0767	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.07437	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.00225	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	79.3206	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	16.20133	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	1.25145	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.98093	
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	0.902	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.45362	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.42768	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.16517	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.14389	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.0767	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.07437	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.00225	
