#mpa_v30_CHOCOPhlAn_201901
#/home/grim/miniconda3/bin/metaphlan /home/grim/cnckrun/X101SC21101085-Z01-F007_01/CK30/CK30_FDSW210418087-1r_HMLYTDSX2_L1_1.fq.gz --input_type fastq -o /home/grim/cnckrun/X101SC21101085-Z01-F007_01/CK30/CK30_FDSW210418087-1r_HMLYTDSX2_L1_1.fq.gz.txt
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.96535	
k__Archaea	2157	0.03465	
k__Bacteria|p__Bacteroidetes	2|976	51.13522	
k__Bacteria|p__Firmicutes	2|1239	37.65401	
k__Bacteria|p__Proteobacteria	2|1224	10.98016	
k__Bacteria|p__Actinobacteria	2|201174	0.11568	
k__Bacteria|p__Fusobacteria	2|32066	0.03587	
k__Archaea|p__Euryarchaeota	2157|28890	0.03465	
k__Bacteria|p__Lentisphaerae	2|256845	0.02851	
k__Bacteria|p__Synergistetes	2|508458	0.0159	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	51.13522	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	33.71142	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	10.90989	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	2.25981	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.1915	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.49129	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.11568	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.06683	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	0.03587	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.03465	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.02851	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.0159	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.00345	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	51.13522	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	33.71142	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	10.90989	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	2.25981	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.77507	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.49129	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.41643	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.10651	
