#mpa_v30_CHOCOPhlAn_201901
#/home/grim/miniconda3/bin/metaphlan /home/grim/cnckrun/X101SC21101085-Z01-F007_01/CK23/CK23_FDSW210418084-1r_HMLYTDSX2_L2_1.fq.gz --input_type fastq -o /home/grim/cnckrun/X101SC21101085-Z01-F007_01/CK23/CK23_FDSW210418084-1r_HMLYTDSX2_L2_1.fq.gz.txt
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	97.52744	
k__Archaea	2157	2.47256	
k__Bacteria|p__Bacteroidetes	2|976	60.3785	
k__Bacteria|p__Firmicutes	2|1239	22.71127	
k__Bacteria|p__Synergistetes	2|508458	4.92588	
k__Bacteria|p__Proteobacteria	2|1224	4.69504	
k__Bacteria|p__Verrucomicrobia	2|74201	4.08123	
k__Archaea|p__Euryarchaeota	2157|28890	2.47256	
k__Bacteria|p__Actinobacteria	2|201174	0.6797	
k__Bacteria|p__Lentisphaerae	2|256845	0.05581	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	60.35309	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	19.75501	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	4.92588	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	4.5476	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	4.08123	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	2.47256	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	1.38397	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.87037	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.70193	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.65512	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.14745	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.05581	
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_unclassified	2|976|	0.02541	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.02458	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	60.35309	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	19.75501	
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	4.92588	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	4.5476	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	4.08123	
