clade_name	CK23_FDSW210418084-1r_HMTM7DSX2_L3_2.fq.gz	CK23_FDSW210418084-1r_HMTM7DSX2_L3_1.fq.gz	CK23_FDSW210418084-1r_HMLYTDSX2_L2_2.fq.gz	CK23_FDSW210418084-1r_HMLYTDSX2_L2_1.fq.gz
k__Archaea	2.21288	2.17749	2.50853	2.47256
k__Archaea|p__Euryarchaeota	2.21288	2.17749	2.50853	2.47256
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2.21288	2.17749	2.50853	2.47256
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2.21288	2.17749	2.50853	2.47256
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2.21288	2.17749	2.50853	2.47256
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	2.21288	2.17749	2.50853	2.47256
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	2.21288	2.17749	2.50853	2.47256
k__Bacteria	97.78712	97.82251	97.49147	97.52744
k__Bacteria|p__Actinobacteria	0.42628	0.36604	0.59979	0.6797
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0	0	0.02318	0.02458
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0	0	0.02318	0.02458
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0	0	0.02318	0.02458
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia	0	0	0.00351	0.0034
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens	0	0	0.00351	0.0034
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0	0	0.01967	0.02118
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	0	0	0.01967	0.02118
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.42628	0.36604	0.57662	0.65512
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	0.29813	0.28652	0.43597	0.5
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	0.29813	0.28652	0.43597	0.5
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	0.29813	0.28652	0.43597	0.5
