#mpa_v30_CHOCOPhlAn_201901
#/home/grim/miniconda3/bin/metaphlan /home/grim/cnckrun/X101SC21101085-Z01-F007_01/CK25/CK25_FDSW210418094-1r_HMLYTDSX2_L2_1.fq.gz --input_type fastq -o /home/grim/cnckrun/X101SC21101085-Z01-F007_01/CK25/CK25_FDSW210418094-1r_HMLYTDSX2_L2_1.fq.gz.txt
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.64519	
k__Eukaryota	2759	0.35481	
k__Bacteria|p__Proteobacteria	2|1224	64.15535	
k__Bacteria|p__Bacteroidetes	2|976	19.72868	
k__Bacteria|p__Firmicutes	2|1239	13.99208	
k__Bacteria|p__Lentisphaerae	2|256845	1.40539	
k__Eukaryota|p__Eukaryota_unclassified	2759|	0.35481	
k__Bacteria|p__Verrucomicrobia	2|74201	0.2169	
k__Bacteria|p__Actinobacteria	2|201174	0.14678	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	63.19841	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	19.72868	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	11.15904	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	1.40539	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.25558	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.06449	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.95694	
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified	2759||	0.35481	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.34061	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.2169	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.17236	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.11435	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.03244	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	63.19841	
