clade_name	CK25_FDSW210418094-1r_HMTM7DSX2_L3_2.fq.gz	CK25_FDSW210418094-1r_HMTM7DSX2_L3_1.fq.gz	CK25_FDSW210418094-1r_HMLYTDSX2_L2_2.fq.gz	CK25_FDSW210418094-1r_HMLYTDSX2_L2_1.fq.gz
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis	1.75858	1.79338	1.80781	1.83902
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii	0.086	0.1043	0.10898	0.12199
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae	1.73902	1.77967	1.69936	1.70589
k__Bacteria|p__Firmicutes	12.23056	12.65938	13.91187	13.99208
k__Bacteria|p__Firmicutes|c__Bacilli	0.81351	0.8087	1.20393	1.25558
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0	0	0.00669	0.01325
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified	0	0	0.00669	0.01325
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella	0	0	0.00669	0.01325
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_haemolysans	0	0	0.00669	0.01325
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.81351	0.8087	1.19724	1.24233
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0.0916	0.09788	0.14202	0.14266
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	0.0916	0.09788	0.14202	0.14266
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_hirae	0.0916	0.09788	0.14202	0.14266
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0.08905	0.0704	0.16476	0.17435
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	0.08905	0.0704	0.16476	0.17435
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_fermentum	0	0	0.04541	0.0455
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_rogosae	0	0	0.00507	0.00753
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_salivarius	0.08905	0.0704	0.11428	0.12132
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae	0.42377	0.44158	0.47221	0.49555
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc	0	0	0.00059	0.00058
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc|s__Leuconostoc_garlicum	0	0	0.00059	0.00058
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella	0.42377	0.44158	0.47162	0.49497
