#mpa_v30_CHOCOPhlAn_201901
#/home/grim/miniconda3/bin/metaphlan /home/grim/cnckrun/X101SC21101085-Z01-F007_01/CN46/CN46_FDSW210418095-1r_HMTM7DSX2_L3_2.fq.gz --input_type fastq -o /home/grim/cnckrun/X101SC21101085-Z01-F007_01/CN46/CN46_FDSW210418095-1r_HMTM7DSX2_L3_2.fq.gz.txt
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.91378	
k__Archaea	2157	0.08622	
k__Bacteria|p__Firmicutes	2|1239	76.62003	
k__Bacteria|p__Bacteroidetes	2|976	22.82645	
k__Bacteria|p__Proteobacteria	2|1224	0.20173	
k__Bacteria|p__Actinobacteria	2|201174	0.16605	
k__Bacteria|p__Lentisphaerae	2|256845	0.09952	
k__Archaea|p__Euryarchaeota	2157|28890	0.08622	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	64.65802	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	22.82645	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	8.51242	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	1.76474	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.68485	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.20173	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.16605	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.09952	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.08622	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	64.65802	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	22.82645	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	8.51242	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	1.76474	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.68485	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.20173	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.10779	
