#mpa_v30_CHOCOPhlAn_201901
#/home/grim/miniconda3/bin/metaphlan /home/grim/cnckrun/X101SC21101085-Z01-F007_01/CN11/CN11_FDSW210418090-1r_HMTM7DSX2_L3_2.fq.gz --input_type fastq -o /home/grim/cnckrun/X101SC21101085-Z01-F007_01/CN11/CN11_FDSW210418090-1r_HMTM7DSX2_L3_2.fq.gz.txt
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.86156	
k__Archaea	2157	0.13844	
k__Bacteria|p__Proteobacteria	2|1224	82.66991	
k__Bacteria|p__Verrucomicrobia	2|74201	5.79657	
k__Bacteria|p__Bacteroidetes	2|976	5.3583	
k__Bacteria|p__Firmicutes	2|1239	3.61422	
k__Bacteria|p__Actinobacteria	2|201174	1.65744	
k__Bacteria|p__Synergistetes	2|508458	0.76512	
k__Archaea|p__Euryarchaeota	2157|28890	0.13844	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	82.66991	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	5.79657	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	5.3583	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	2.72846	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	1.58996	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.76512	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.55667	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.32909	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.13844	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.06748	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	82.66991	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	5.79657	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	5.3583	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	2.72846	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	1.58996	
