#mpa_v30_CHOCOPhlAn_201901
#/home/grim/miniconda3/bin/metaphlan /home/grim/cnckrun/X101SC21101085-Z01-F007_01/CN11/CN11_FDSW210418090-1r_HMLYTDSX2_L1_1.fq.gz --input_type fastq -o /home/grim/cnckrun/X101SC21101085-Z01-F007_01/CN11/CN11_FDSW210418090-1r_HMLYTDSX2_L1_1.fq.gz.txt
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.83735	
k__Archaea	2157	0.16265	
k__Bacteria|p__Proteobacteria	2|1224	80.92158	
k__Bacteria|p__Bacteroidetes	2|976	6.16646	
k__Bacteria|p__Verrucomicrobia	2|74201	5.8856	
k__Bacteria|p__Firmicutes	2|1239	4.42202	
k__Bacteria|p__Actinobacteria	2|201174	1.64909	
k__Bacteria|p__Synergistetes	2|508458	0.79259	
k__Archaea|p__Euryarchaeota	2157|28890	0.16265	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	80.92158	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	6.16646	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	5.8856	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	3.28016	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	1.56086	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.79259	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.70119	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.39292	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.16265	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.08823	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.03068	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.01707	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	80.92158	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	6.16646	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	5.8856	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	3.28016	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	1.56086	
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	0.79259	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.70119	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.39292	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.16265	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.08823	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.03068	
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2|1239|1737404|1737405	0.01707	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	80.92158	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	5.8856	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	2.5861	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	2.25768	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	1.56086	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	1.34547	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	2|976|200643|171549|2005519	1.12167	
